,Name,Critic_Score,User_Score
695,LEGO Star Wars: The Complete Saga,8.0,6.7
696,Need for Speed Underground 2,7.7,8.7
697,Pro Evolution Soccer 2010,7.8,6.7
699,FIFA Soccer 09,8.2,6.9
700,LEGO Harry Potter: Years 1-4,7.2,7.2
701,The Sims 3,7.6,7.1
702,Pokemon Ranger: Shadows of Almia,6.8,8.2
704,Dead Island,7.1,6.6
705,Kirby: Nightmare in Dream Land,8.1,8.9
706,Wario Land 4,8.8,8.9
707,Sonic's Ultimate Genesis Collection,8.0,8.6
708,Far Cry: Primal,7.6,6.3
709,Battlefield 1,8.7,8.2
710,Onimusha 2: Samurai's Destiny,8.4,9
712,Paper Mario: The Thousand-Year Door,8.7,9.4
713,Madden NFL 12,7.9,5.5
714,God of War: Ascension,8.0,7.5
715,Guitar Hero III: Legends of Rock,8.3,7.8
716,Sonic Advance,8.7,8.1
717,Super Monkey Ball: Banana Blitz,7.4,5.7
719,Call of Duty 3,6.9,6.7
720,New Super Luigi U,7.7,7.9
722,Spyro: Season of Ice,7.4,8
723,Dissidia: Final Fantasy,7.9,8
724,Madden NFL 25,8.0,5.6
727,Borderlands 2,9.1,8.2
728,Prince of Persia: The Sands of Time,9.2,8.8
729,Monster Hunter Tri,8.4,8.6
730,LEGO Marvel Super Heroes,8.0,7.6
733,Tom Clancy's Rainbow Six: Siege,7.3,7.3
734,Star Wars: The Force Unleashed,7.1,6.6
737,Guitar Hero II,9.2,8.1
738,Forza Motorsport 5,7.9,5.9
739,Rock Band 2,9.2,8.3
742,Need for Speed: Hot Pursuit,8.8,7
743,LEGO Indiana Jones: The Original Adventures,8.0,7.9
744,BioShock 2,8.8,8.2
746,Star Wars: Knights of the Old Republic,9.4,9.2
749,Madden NFL 15,8.1,6.1
750,Pro Evolution Soccer 2012,8.0,6.6
751,Saints Row,8.1,7.5
753,ATV Offroad Fury 2,8.2,8.9
754,FIFA 15,8.2,5.4
758,Tom Clancy's The Division,8.0,6.9
759,Final Fantasy XIII,8.2,6.3
760,The Sims: House Party,7.4,7.9
761,Scribblenauts,7.9,7.6
762,Sonic Unleashed,6.6,7.3
764,Pokemon Ranger,6.9,7.6
767,Overwatch,9.0,6.1
768,Hitman: Absolution,8.3,7.5
774,Call of Duty: Roads to Victory,6.4,7.5
775,Dance Dance Revolution Extreme,7.7,9
776,Final Fantasy Tactics Advance,8.7,7.8
777,Your Shape featuring Jenny McCarthy,6.2,5.2
778,Project Gotham Racing,8.5,8.2
780,NBA 2K12,9.0,6.7
782,Need for Speed: Hot Pursuit 2,8.9,8.5
784,Dynasty Warriors 4,7.8,9.3
785,NBA 2K14,8.4,4.9
786,Parasite Eve,8.1,8.9
787,Tetris DS,8.4,8.7
790,Battlefield: Hardline,7.3,5
791,Mortal Kombat,8.6,8.3
792,Borderlands,8.3,7.9
793,Devil May Cry 3: Dante's Awakening,8.4,9
795,NBA 2K11,8.9,8.1
797,Dying Light,7.4,7.9
799,Dead Rising,8.5,7.6
800,World of Warcraft: Cataclysm,9.0,5.6
801,Tetris Worlds,4.4,6.2
802,Final Fantasy III,7.7,7.1
804,Mario Party 5,6.9,8.2
805,Rock Band,8.0,6.3
808,Portal 2,9.5,8.5
809,Mario Sports Mix,6.4,7.1
810,Need for Speed: Most Wanted 5-1-0,7.2,7.8
812,The Sims 2: Pets,4.9,5.2
813,Dance Dance Revolution: Hottest Party,7.3,7.1
814,DriveClub,7.1,6.1
816,UFC 2009 Undisputed,8.3,7.9
817,Metal Gear Solid: Peace Walker,8.9,8.9
822,R4: Ridge Racer Type 4,8.8,9.2
823,Kingdom Hearts: Birth by Sleep,8.2,8.6
825,SoulCalibur II,9.2,8.8
826,Need for Speed: ProStreet,7.2,7.1
827,Sonic Mega Collection,7.5,8.8
830,Need For Speed: Undercover,5.9,5.9
833,SOCOM: U.S. Navy SEALs: Combined Assault,7.2,9
834,Peter Jackson's King Kong: The Official Game of the Movie,8.2,8.2
835,Need for Speed: ProStreet,7.3,6
836,Donkey Kong Country,7.8,8.9
837,Dance Central 2,8.6,8.2
840,Carnival Games,4.8,3.3
841,NBA Live 2004,8.6,7.7
842,Call of Duty 2,8.9,8.1
843,Rayman Raving Rabbids: TV Party,7.3,7.7
844,Pokémon Mystery Dungeon: Blue Rescue Team,6.2,8.1
845,Dark Souls,8.9,8.7
846,Just Dance 3,7.0,7.7
847,Battlefield 4,8.1,6.6
848,Fire Emblem: Awakening,9.2,9.1
849,Need for Speed: The Run,6.4,6.4
851,Dragon Age: Inquisition,8.9,7.4
853,Dead Space,8.8,8.8
854,Mortal Kombat vs. DC Universe,7.6,7.1
855,TouchMaster,7.1,5.7
856,Tenchu: Stealth Assassins,8.7,8.8
